Day fraction since midnight on ,photom conc (mg/L),photom (volts),Source pressure (Pa)
0.588458271,-1.068653464,3.5534091,104142.75
0.58848141,-1.068679333,3.553423166,104142.75
0.588504558,-1.068655133,3.553410053,104142.75
0.588527726,-1.068677187,3.553421974,104142.75
0.588550878,-1.068698287,3.553433418,104142.75
0.588574033,-1.068649888,3.553407192,104142.75
0.588597153,-1.068675041,3.553420782,104142.75
0.588620285,-1.068665266,3.553415537,104142.75
0.588643441,-1.068651676,3.553408146,104142.75
0.588666614,-1.068643332,3.553403616,104142.75
0.588689754,-1.068641543,3.553402662,104142.75
0.588712967,-1.068620443,3.553391218,104142.75
0.588736096,-1.068607211,3.553384066,104142.75
0.588759262,-1.068610311,3.553385735,104142.75
0.588782365,-1.068537235,3.553346157,104142.75
0.588805521,-1.068616509,3.553389072,104142.75
0.588828631,-1.06837976,3.553260803,104142.75
0.588851785,-1.068593621,3.553376675,104142.75
0.588874925,-1.068603754,3.553382158,104142.75
0.588898081,-1.068597555,3.55337882,104142.75
0.588921223,-1.068575978,3.553367138,104142.75
0.58894448,-1.06859529,3.553377628,104142.75
0.588967525,-1.068611145,3.553386211,104142.75
0.588990668,-1.068592668,3.553376198,104142.75
0.589013886,-1.068591356,3.553375483,104142.75
0.589037023,-1.068601012,3.553380728,104142.75
0.589060116,-1.068583965,3.553371429,104142.75
0.589083269,-1.0685637,3.553360462,104142.75
0.589106427,-1.068526745,3.553340435,104142.75
0.589129629,-1.068555355,3.553355932,104142.75
0.589152776,-1.068455815,3.55330205,104142.75
0.589175932,-1.068501592,3.553326845,104142.75
0.589199073,-1.068511367,3.55333209,104142.75
0.58922223,-1.068470836,3.553310156,104142.75
0.589245305,-1.068385959,3.553264141,104142.75
0.589268462,-1.068464637,3.553306818,104142.75
0.589291685,-1.068374515,3.553257942,104142.75
0.589314828,-1.068352938,3.55324626,104142.75
0.589337977,-1.068417192,3.553281069,104142.75
0.589361092,-1.068389416,3.553266048,104142.75
0.589384245,-1.068354726,3.553247213,104142.75
0.58940743,-1.068341494,3.553240061,104142.75
0.589430579,-1.06820333,3.553165197,104142.75
0.589453724,-1.068315029,3.553225756,104142.75
0.589476848,-1.068278551,3.553205967,104142.75
0.589500007,-1.068186164,3.553155899,104142.75
0.589523071,-1.068242073,3.553186178,104142.75
0.589546318,-1.068236351,3.553183079,104142.75
0.589569466,-1.068207741,3.553167582,104142.75
0.589592526,-1.067747474,3.552918196,104142.75
0.589615682,-1.066909194,3.552464008,104142.75
0.589638909,-1.067333818,3.552694082,104142.75
0.589662061,-1.067595244,3.552835703,104142.75
0.589685203,-1.067328095,3.552690983,104142.75
0.589708344,-1.067105889,3.552570581,104142.75
0.589731494,-1.066572547,3.552281618,104142.75
0.589754635,-1.066092372,3.552021503,104142.75
0.589777769,-1.065586686,3.551747561,104142.75
0.589800914,-1.065956831,3.551948071,104142.75
0.589824093,-1.065588474,3.551748514,104142.75
0.589847143,-1.065212607,3.551544905,104142.75
0.589870399,-1.064118743,3.550952435,104142.75
0.589893558,-1.063439488,3.550584555,104142.75
0.589916698,-1.061668277,3.549625397,104142.75
0.589939737,-1.06003809,3.548742771,104142.75
0.589962894,-1.059491992,3.548447132,104142.75
0.589986047,-1.059273481,3.548328877,104142.75
0.590009187,-1.059847355,3.548639536,104142.75
0.590032338,-1.059896231,3.548666,104142.75
0.590055517,-1.059534669,3.548470259,104142.75
0.590078648,-1.059715629,3.548568249,104142.75
0.590101842,-1.059354544,3.548372746,104142.75
0.590124997,-1.057993531,3.547636032,104142.75
0.590148133,-1.055337787,3.546198845,104142.75
0.590171228,-1.054510236,3.545751095,104142.75
0.590194387,-1.054409742,3.545696735,104142.75
0.590217579,-1.055443525,3.546256065,104142.75
0.590240721,-1.054789186,3.545902014,104142.75
0.590263877,-1.054273605,3.545623064,104142.75
0.590287028,-1.054199934,3.545583248,104142.75
0.590310184,-1.050130248,3.543381929,104142.75
0.590333325,-1.047484994,3.541951656,104142.75
0.590356468,-1.046145916,3.541227818,104142.75
0.590379621,-1.04548204,3.540868998,104142.75
0.590402779,-1.043581486,3.53984189,104142.75
0.590425919,-1.040721178,3.538296461,104142.75
0.590449071,-1.04200542,3.538990259,104142.75
0.590472226,-1.036189199,3.535848856,104142.75
0.590495354,-1.02359724,3.52905488,104142.75
0.590518545,-1.028947473,3.53194046,104142.75
0.590541676,-1.027378559,3.531094074,104142.75
0.59056474,-1.022086144,3.528240204,104142.75
0.590587882,-1.019947171,3.527087212,104142.75
0.590611034,-1.019898057,3.527060747,104142.75
0.590634283,-1.013603926,3.52366972,104142.75
0.590657423,-0.998284996,3.515426397,104142.75
0.5906805,-0.988165736,3.509988785,104142.75
0.590703641,-0.979910791,3.505557537,104142.75
0.590726787,-0.96792084,3.49912858,104142.75
0.590750022,-0.948782027,3.488884211,104142.75
0.590773165,-0.93423003,3.481109619,104142.75
0.59079634,-0.933224201,3.480572701,104142.75
0.590819476,-0.9351179,3.481583595,104142.75
0.590842618,-0.905845344,3.465981007,104142.75
