Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.610101933	-1.038197637	3.536933422	104142.75
0.6101251	-1.038264751	3.536969662	104142.75
0.610148255	-1.038322091	3.537000656	104142.75
0.610171397	-1.038069129	3.536864042	104142.75
0.610194537	-1.038188815	3.536928654	104142.75
0.610217699	-1.037614822	3.53661871	104142.75
0.610240793	-1.037487745	3.536550045	104142.75
0.610263937	-1.037361383	3.536481857	104142.75
0.610287092	-1.036953926	3.536261797	104142.75
0.610310361	-1.036912799	3.536239624	104142.75
0.610333414	-1.036750317	3.536151886	104142.75
0.610356534	-1.036887288	3.536225796	104142.75
0.610379674	-1.036951661	3.536260605	104142.75
0.610402832	-1.036915898	3.536241293	104142.75
0.610425999	-1.03672123	3.53613615	104142.75
0.610449136	-1.036582589	3.536061287	104142.75
0.610472281	-1.036596298	3.536068678	104142.75
0.610495425	-1.036439538	3.535984039	104142.75
0.61051858	-1.03630352	3.535910606	104142.75
0.610541779	-1.0360955	3.535798311	104142.75
0.610564931	-1.036086679	3.535793543	104142.75
0.610588063	-1.035787344	3.535631895	104142.75
0.61061123	-1.035742283	3.535607576	104142.75
0.610634371	-1.035586357	3.535523415	104142.75
0.610657523	-1.035441518	3.535445213	104142.75
0.610680678	-1.035387158	3.535415888	104142.75
0.61070381	-1.035297155	3.53536725	104142.75
0.610726837	-1.035227299	3.53532958	104142.75
0.610750119	-1.03417182	3.53475976	104142.75
0.610773176	-1.034326792	3.534843445	104142.75
0.610796316	-1.034342289	3.53485179	104142.75
0.610819521	-1.034573317	3.534976482	104142.75
0.610842666	-1.034265399	3.534810305	104142.75
0.610865815	-1.034265399	3.534810305	104142.75
0.610888906	-1.03366518	3.534486294	104142.75
0.610912179	-1.033930183	3.534629345	104142.75
0.6109353	-1.032576323	3.533898592	104142.75
0.610958443	-1.03332603	3.534303188	104142.75
0.610981579	-1.032159805	3.533673763	104142.75
0.611004739	-1.032128453	3.533656836	104142.75
0.611027893	-1.031311154	3.533215761	104142.75
0.611051011	-1.020472169	3.527370215	104142.75
