Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.627370506	2.413942337	1.989428163	104142.75
0.627393635	2.405393362	1.992571712	104142.75
0.627416812	2.415072203	1.989012957	104142.75
0.627439982	2.403894424	1.993123174	104142.75
0.627463121	2.409650087	1.991006136	104142.75
0.627486234	2.409326792	1.991124988	104142.75
0.627509373	2.44072485	1.979599357	104142.75
0.627532513	2.419408083	1.987419963	104142.75
0.627555763	2.444937468	1.978056073	104142.75
0.627578914	2.433771849	1.982148171	104142.75
0.627601994	2.437132359	1.980916023	104142.75
0.627625142	2.43036294	1.983398557	104142.75
0.627648281	2.414277792	1.9893049	104142.75
0.62767145	2.441998959	1.979132533	104142.75
0.627694585	2.446168661	1.977605104	104142.75
0.627717805	2.413163185	1.989714503	104142.75
0.627740954	2.450551987	1.976000309	104142.75
0.627763993	2.444441795	1.978237629	104142.75
0.627787204	2.478543282	1.965770364	104142.75
0.627810357	2.551916361	1.939105988	104142.75
0.627833547	2.770134211	1.861080527	104142.75
0.627856689	2.947389364	1.799083948	104142.75
0.627879833	2.91356492	1.810819984	104142.75
0.627902975	2.99998045	1.780924201	104142.75
0.627926129	3.129973173	1.73649168	104142.75
0.62794927	3.265798569	1.690748334	104142.75
0.627972418	3.404897213	1.644615054	104142.75
0.627995579	3.61317873	1.576860428	104142.75
0.628018697	3.623580456	1.573517799	104142.75
0.628041845	3.588328123	1.584861994	104142.75
0.628064994	3.677369356	1.556294203	104142.75
0.62808816	3.59493947	1.582731128	104142.75
0.62811129	3.367946386	1.656800389	104142.75
0.628134434	3.26356864	1.69149375	104142.75
0.628157599	3.325846434	1.670745134	104142.75
0.628180752	3.47385788	1.622007489	104142.75
0.628203894	3.596027613	1.582380533	104142.75
0.628227057	3.627489567	1.572262645	104142.75
0.628250202	3.65543294	1.563305974	104142.75
0.628273337	3.80091095	1.517124176	104142.75
0.62829649	4.028448582	1.446377873	104142.75
0.628319653	4.105340481	1.422873378	104142.75
0.628342779	4.215312958	1.389604926	104142.75
0.62836587	4.059836865	1.436758637	104142.75
0.628389015	3.976009846	1.46252346	104142.75
0.628412202	3.896325827	1.487239003	104142.75
0.628435351	4.019598961	1.449096084	104142.75
0.628458513	4.028307438	1.446421266	104142.75
0.628481691	3.999998093	1.455125928	104142.75
0.628504831	3.937805414	1.474345923	104142.75
0.628527924	3.802144051	1.516735911	104142.75
0.628551065	3.835240364	1.506335139	104142.75
0.628574229	3.880616903	1.492137432	104142.75
0.628597355	3.974124432	1.463105679	104142.75
0.628620494	4.111945629	1.420863748	104142.75
0.628643736	4.193334103	1.39622128	104142.75
0.628666777	4.314384937	1.359981298	104142.75
0.628689928	4.250990868	1.378899097	104142.75
0.628713184	4.27140379	1.372793078	104142.75
0.628736222	4.396048546	1.3358078	104142.75
0.628759391	4.546198368	1.291931748	104142.75
0.628782549	4.540263176	1.293652177	104142.75
0.628805688	4.623271942	1.269693255	104142.75
0.628828824	4.787860394	1.22283864	104142.75
0.62885198	4.747864246	1.234145641	104142.75
0.628875177	4.760382175	1.23060143	104142.75
0.628898324	4.885223866	1.195523381	104142.75
0.62892148	4.886948586	1.195042253	104142.75
0.628944626	4.73861599	1.236767411	104142.75
0.628962794	4.714636326	1.243577719	104142.75
0.628990857	4.802946568	1.218586803	104142.75
0.62901411	4.748596668	1.233938217	104142.75
0.629037154	4.773777485	1.226814151	104142.75
0.629060297	4.794656754	1.220922232	104142.75
0.629083445	4.792389393	1.221561432	104142.75
0.629106645	4.795341969	1.220729113	104142.75
0.629129788	4.803574562	1.218409896	104142.75
0.629152943	4.911792278	1.18812108	104142.75
0.62917613	4.901060581	1.191108465	104142.75
0.629199281	4.86173296	1.202086687	104142.75
0.629222416	4.901794434	1.190904021	104142.75
0.629245554	4.933234215	1.182163	104142.75
0.629268715	4.938036919	1.18083036	104142.75
