Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.655750368	11.45270061	-0.10380879	104142.75
0.655773506	11.40638256	-0.097577773	104142.75
0.655796655	11.40481949	-0.097367004	104142.75
0.655819809	10.64524174	0.009560144	104142.75
0.655842965	10.80337906	-0.01345346	104142.75
0.655866011	10.97467422	-0.037928533	104142.75
0.655889265	10.87301826	-0.023460105	104142.75
0.655912405	10.90374947	-0.02785128	104142.75
0.655935554	12.38184261	-0.222239316	104142.75
0.655958702	45.65154266	-1.280807018	104142.75
0.655981857	81.14595032	-1.306888461	104142.75
0.656004987	77.37319946	-1.306622624	104142.75
0.656028122	62.84895325	-1.303487659	104142.75
0.656051267	50.92476654	-1.292625904	104142.75
0.656074421	32.2229538	-1.188581944	104142.75
0.656097564	27.5660305	-1.107714653	104142.75
0.656120714	23.51997185	-0.993900716	104142.75
0.656143886	20.04281807	-0.845461547	104142.75
0.656167046	18.31349564	-0.747242689	104142.75
0.656190092	17.22733116	-0.675137878	104142.75
0.656213236	15.3498621	-0.527936518	104142.75
0.656236378	13.99147224	-0.400492609	104142.75
0.656259636	13.45593357	-0.344699204	104142.75
0.656282769	12.7371912	-0.264387101	104142.75
0.656305919	12.28265476	-0.210173473	104142.75
0.656329061	11.93462467	-0.166765824	104142.75
0.656352222	11.6455574	-0.129409581	104142.75
0.656375333	11.50732327	-0.111115553	104142.75
0.65639849	11.43575478	-0.101532884	104142.75
0.656421642	11.22227287	-0.072490022	104142.75
0.656444781	11.08402157	-0.053309541	104142.75
0.656467927	11.17619991	-0.066130862	104142.75
0.656491097	11.08697796	-0.05372281	104142.75
0.656514239	11.14276505	-0.061495546	104142.75
0.656537401	11.0521059	-0.048839632	104142.75
0.656560542	11.08046913	-0.052812889	104142.75
0.656583686	11.02715874	-0.045334522	104142.75
0.656606783	11.12653732	-0.059239592	104142.75
0.656629936	11.08568096	-0.053541545	104142.75
0.656653095	11.11725044	-0.057946704	104142.75
0.62829649	1.446377873	4.028448582	104142.75
0.628319653	1.422873378	4.105340481	104142.75
0.628342779	1.389604926	4.215312958	104142.75
0.62836587	1.436758637	4.059836865	104142.75
0.628389015	1.46252346	3.976009846	104142.75
0.628412202	1.487239003	3.896325827	104142.75
0.628435351	1.449096084	4.019598961	104142.75
0.628458513	1.446421266	4.028307438	104142.75
0.628481691	1.455125928	3.999998093	104142.75
0.628504831	1.474345923	3.937805414	104142.75
0.628527924	1.516735911	3.802144051	104142.75
0.628551065	1.506335139	3.835240364	104142.75
0.628574229	1.492137432	3.880616903	104142.75
0.628597355	1.463105679	3.974124432	104142.75
0.628620494	1.420863748	4.111945629	104142.75
0.628643736	1.39622128	4.193334103	104142.75
0.628666777	1.359981298	4.314384937	104142.75
0.628689928	1.378899097	4.250990868	104142.75
0.628713184	1.372793078	4.27140379	104142.75
0.628736222	1.3358078	4.396048546	104142.75
0.628759391	1.291931748	4.546198368	104142.75
0.628782549	1.293652177	4.540263176	104142.75
0.628805688	1.269693255	4.623271942	104142.75
0.628828824	1.22283864	4.787860394	104142.75
0.62885198	1.234145641	4.747864246	104142.75
0.628875177	1.23060143	4.760382175	104142.75
0.628898324	1.195523381	4.885223866	104142.75
0.62892148	1.195042253	4.886948586	104142.75
0.628944626	1.236767411	4.73861599	104142.75
0.628962794	1.243577719	4.714636326	104142.75
0.628990857	1.218586803	4.802946568	104142.75
0.62901411	1.233938217	4.748596668	104142.75
0.629037154	1.226814151	4.773777485	104142.75
0.629060297	1.220922232	4.794656754	104142.75
0.629083445	1.221561432	4.792389393	104142.75
0.629106645	1.220729113	4.795341969	104142.75
0.629129788	1.218409896	4.803574562	104142.75
0.629152943	1.18812108	4.911792278	104142.75
0.62917613	1.191108465	4.901060581	104142.75
0.629199281	1.202086687	4.86173296	104142.75
0.629222416	1.190904021	4.901794434	104142.75
0.629245554	1.182163	4.933234215	104142.75
0.629268715	1.18083036	4.938036919	104142.75
0.629291813	1.158623934	5.018450737	104142.75
0.629314977	1.181220412	4.936630726	104142.75
0.629338188	1.192722321	4.89526844	104142.75
0.629361225	1.192101836	4.897494793	104142.75
0.629384484	1.185745597	4.920334816	104142.75
0.629407519	1.192183733	4.897201061	104142.75
0.629430784	1.186021805	4.919341087	104142.75
0.629453892	1.181056976	4.937220097	104142.75
0.629477041	1.173910022	4.963019848	104142.75
0.629500182	1.185043216	4.92286253	104142.75
0.629523274	1.203756094	4.855767727	104142.75
0.629546523	1.211873293	4.826818943	104142.75
0.62956958	1.215853453	4.81265831	104142.75
0.629592722	1.198937774	4.872995853	104142.75
0.629615879	1.183269024	4.929249764	104142.75
0.6296391	1.160836101	5.010407925	104142.75
0.629662253	1.160232067	5.012603283	104142.75
0.629685315	1.16542685	4.993739605	104142.75
0.62970847	1.162022114	5.006098747	104142.75
0.629731615	1.153605342	5.036724567	104142.75
0.629754841	1.152365923	5.041243076	104142.75
0.62977799	1.162892699	5.00293684	104142.75
0.62980109	1.167583704	4.985918999	104142.75
0.629824253	1.168286443	4.983372212	104142.75
0.629847383	1.173548937	4.964324951	104142.75
0.629870553	1.173478961	4.964578152	104142.75
0.629893706	1.173911691	4.963013649	104142.75
0.629916877	1.155294657	5.030569553	104142.75
0.62994003	1.165640473	4.992964745	104142.75
0.629963168	1.170806766	4.974245071	104142.75
0.629986273	1.169065952	4.980548382	104142.75
0.630009422	1.163420439	5.001020908	104142.75
0.630032599	1.164747357	4.996204853	104142.75
0.630055744	1.174253821	4.961776733	104142.75
0.630078876	1.18488121	4.923445225	104142.75
0.630102074	1.178002	4.94823885	104142.75
0.630125214	1.175529957	4.957165241	104142.75
0.630148366	1.180679798	4.938579559	104142.75
0.630171526	1.181004047	4.937410832	104142.75
0.630194669	1.188173533	4.911603451	104142.75
0.630217798	1.173516274	4.964443207	104142.75
0.630240963	1.179035187	4.944510937	104142.75
0.630264097	1.1882447	4.911347866	104142.75
0.630287239	1.194742441	4.888023377	104142.75
0.630310378	1.204203248	4.854170322	104142.75
0.630333472	1.19633913	4.882300854	104142.75
0.630356625	1.200436354	4.86763382	104142.75
0.630379821	1.200414419	4.867712498	104142.75
0.630402969	1.202809215	4.85915041	104142.75
0.630426137	1.197959423	4.876497746	104142.75
0.630449268	1.200623155	4.866965771	104142.75
0.63047242	1.201477408	4.863911152	104142.75
0.630495579	1.201167822	4.865017891	104142.75
0.630518715	1.211431861	4.828390598	104142.75
0.630541865	1.206231594	4.846929073	104142.75
0.630565025	1.206089854	4.847434998	104142.75
0.630588184	1.19991231	4.869508743	104142.75
0.630611317	1.210303664	4.832409382	104142.75
0.630634476	1.208732009	4.838010788	104142.75
0.630657615	1.217774749	4.805830479	104142.75
0.630680712	1.222326517	4.789676189	104142.75
0.630703869	1.215487599	4.813959122	104142.75
0.630726997	1.230757713	4.759829521	104142.75
0.630750127	1.225231528	4.779381275	104142.75
0.630773273	1.240561128	4.725250244	104142.75
0.630796416	1.212672949	4.823972225	104142.75
0.630819567	1.212725163	4.823786259	104142.75
0.630842826	1.225959182	4.776804447	104142.75
0.630865967	1.220656514	4.795599461	104142.75
0.630889125	1.209589362	4.834954739	104142.75
0.630912267	1.214104533	4.818877697	104142.75
0.630935405	1.220534563	4.796032429	104142.75
0.630958565	1.214761734	4.816540241	104142.75
0.630981702	1.2145015	4.817465782	104142.75
0.631004859	1.207766295	4.841454029	104142.75
0.631027997	1.221694589	4.791917324	104142.75
0.631051145	1.223503113	4.785504818	104142.75
0.631074184	1.231015921	4.758917332	104142.75
0.631097448	1.24148345	4.72200346	104142.75
0.631120597	1.254743576	4.675458908	104142.75
0.631143713	1.261425853	4.652094841	104142.75
0.631166871	1.244521737	4.711317539	104142.75
0.631190051	1.24228251	4.719192028	104142.75
0.631213184	1.25379622	4.678776264	104142.75
0.631236343	1.244588256	4.711083889	104142.75
0.631259492	1.2567662	4.668380737	104142.75
0.631282633	1.279477	4.589282036	104142.75
0.631305711	1.290155411	4.552330494	104142.75
0.631328856	1.284369946	4.572331429	104142.75
0.631351996	1.280738354	4.584909439	104142.75
0.631375204	1.283524513	4.575258255	104142.75
0.631398352	1.288693905	4.557378769	104142.75
0.631421505	1.28758812	4.561200619	104142.75
0.631444645	1.283004761	4.577057838	104142.75
0.631467805	1.283587694	4.575039387	104142.75
0.631490915	1.290566802	4.550909996	104142.75
0.631514064	1.290765405	4.550224304	104142.75
0.63153718	1.283911109	4.573919773	104142.75
0.631560435	1.302510381	4.509766102	104142.75
0.631583483	1.300991058	4.514989376	104142.75
0.631606722	1.293905258	4.539390564	104142.75
0.631629874	1.283487201	4.575387478	104142.75
0.631652965	1.281591296	4.581953526	104142.75
0.631676119	1.28232348	4.579417229	104142.75
0.631699264	1.278270125	4.593468189	104142.75
0.631722394	1.297460198	4.527140141	104142.75
0.631745539	1.298679709	4.522941589	104142.75
0.631768728	1.30142498	4.513497353	104142.75
0.631791891	1.295972943	4.532263279	104142.75
0.631815033	1.304749489	4.502073765	104142.75
0.631838198	1.310366154	4.482806683	104142.75
0.631861357	1.305795193	4.498483658	104142.75
0.631884502	1.319761515	4.450670242	104142.75
0.631907648	1.302774429	4.508858681	104142.75
0.631930789	1.323063016	4.439404488	104142.75
0.631953857	1.310249448	4.483206749	104142.75
