Day fraction since midnight on 	Photometer Conc (mg/L)
0.573044476	1.725758314
0.573102334	1.699394226
0.573160194	1.779125214
0.573218069	1.768052101
0.573275932	1.599152684
0.573333817	1.466675282
0.573391689	1.275213718
0.573449549	1.10310328
0.57350741	0.973380566
0.573565275	0.851842344
0.573623141	0.743207932
0.573681025	0.711399496
0.573738877	0.620065153
0.573796765	0.522007048
0.573854622	0.435479909
0.573912492	0.34803623
0.57397037	0.299337179
0.574028231	0.224832058
0.574086098	0.173626065
0.574143966	0.138676345
0.574201826	0.12385542
0.574259708	0.052763909
0.574317582	0.017524669
0.574375448	-0.013969286
0.574433427	-0.011623286
0.57449129	-0.025460277
0.574549046	-0.071990073
0.574607029	-0.104325183
0.574664794	-0.130499229
0.574722766	-0.156908348
0.57478063	-0.168251842
0.574838497	-0.184166461
0.57489638	-0.200492039
0.574954244	-0.217133388
0.575012103	-0.229083255
0.575069985	-0.24100709
0.575127842	-0.253930807
0.575185712	-0.261041433
0.575243573	-0.268698156
0.575301453	-0.27336663
0.575359318	-0.279017717
0.575417196	-0.281140626
0.575475069	-0.288633823
0.575532921	-0.291762561
0.5755908	-0.296213329
0.575648674	-0.30019939
0.575706542	-0.303957492
0.575764393	-0.308775783
0.575822268	-0.311187536
0.575880129	-0.314991772
0.57593801	-0.32001695
0.575995876	-0.325120121
0.576053739	-0.331830174
0.576111614	-0.3367939
0.576169484	-0.34154588
0.576227349	-0.34613657
0.576285227	-0.34924674
0.576343096	-0.351110518
0.576400959	-0.354314238
0.57645883	-0.35763064
0.576516685	-0.36060971
0.576574564	-0.363769591
0.576632424	-0.364507765
0.576690295	-0.366746128
0.576748167	-0.367732853
0.576806039	-0.370343804
0.576863911	-0.37159121
0.576921775	-0.372475177
0.576979652	-0.373093277
0.577037507	-0.374030829
0.577095386	-0.375169337
0.577153247	-0.376544386
0.577211116	-0.376922697
0.577268985	-0.377326161
0.577326957	-0.378512263
0.577384827	-0.37905106
0.577442693	-0.380497754
0.577500571	-0.380630285
0.57755833	-0.381281078
0.57761631	-0.382223457
0.577674175	-0.382241994
0.577732038	-0.382324636
0.577789904	-0.382467598
0.577847779	-0.382649511
0.577905657	-0.382963449
0.577963527	-0.382835209
0.578021393	-0.382735938
0.578079258	-0.383296818
0.578137119	-0.383058906
0.578194985	-0.382812411
0.578252857	-0.383171916
0.578310723	-0.383720428
0.578368601	-0.383955985
0.578426465	-0.383479655
0.578484342	-0.383719504
0.578542213	-0.383480609
0.578600061	-0.384100825
0.57865794	-0.384133577
0.5787158	-0.384159237
0.578773676	-0.383657277
0.578831546	-0.384050012
0.578889406	-0.3844845
0.57894727	-0.38439855
0.579005153	-0.384732842
0.579063014	-0.384560466
0.579120896	-0.384133101
0.579178746	-0.384010583
0.579236625	-0.383348584
0.579294497	-0.384089887
0.579352369	-0.384274602
0.579410218	-0.384107471
0.579468106	-0.383921325
0.579525975	-0.383902788
0.57958383	-0.384388119
0.579641695	-0.384249926
0.579699577	-0.383645415
0.579757444	-0.38412407
0.579815315	-0.384007275
0.57987318	-0.383906126
0.579931053	-0.383794993
0.579988912	-0.383998245
0.580046867	-0.383671045
0.580104748	-0.383499622
0.5801626	-0.383202314
0.580220473	-0.383017093
0.580278341	-0.383126348
0.580336219	-0.382841379
0.580394077	-0.382459045
0.580451956	-0.3825849
0.58050982	-0.382207304
0.580567674	-0.38275969
0.580625549	-0.382505119
0.580683426	-0.382778198
0.580741302	-0.383338153
0.58079917	-0.382630497
0.580857017	-0.382907867
0.580914887	-0.383015215
0.580972755	-0.382924974
0.581030626	-0.383034676
0.581088512	-0.382625282
0.581146376	-0.383201838
0.581204249	-0.382750183
0.5812621	-0.382859886
0.581319983	-0.382128954
0.581377841	-0.382011145
0.581435724	-0.38181451
0.581493579	-0.381186068
0.581551452	-0.381019831
0.581609311	-0.381685793
0.58166719	-0.381087273
0.581725049	-0.38059181
0.581782933	-0.380189419
0.581840791	-0.380683482
0.581898662	-0.380128622
0.581956523	-0.379979432
0.582014388	-0.380318642
0.582072264	-0.380241692
0.582130132	-0.380130529
0.582188011	-0.379492462
0.582245876	-0.379194558
0.582303847	-0.379477739
0.58236161	-0.379075319
0.582419581	-0.378687114
0.582477459	-0.3784253
0.582535334	-0.378551215
0.582593208	-0.378131628
0.582651072	-0.377633631
0.582708946	-0.377770007
0.582766811	-0.377987176
0.582824675	-0.377963901
0.582882547	-0.377683044
0.582940404	-0.377146542
0.582998263	-0.377116114
0.583056145	-0.376686961
0.583114	-0.376490682
0.583171876	-0.37626636
0.583229739	-0.376908898
0.583287619	-0.376014918
0.583345475	-0.375039548
0.583403349	-0.374644071
0.583461231	-0.374543279
0.5835191	-0.374654532
0.583576967	-0.374470085
0.58363482	-0.373153657
0.5836927	-0.374811381
0.583750574	-0.373829722
0.583808422	-0.372816086
0.583866305	-0.37170437
0.583924167	-0.37206623
0.583982036	-0.3709611
0.584039911	-0.371027678
0.584097782	-0.370717615
0.584155633	-0.36994049
0.584213516	-0.369709313
0.584271378	-0.368844599
0.584329255	-0.368426472
0.584387124	-0.368508756
0.584444997	-0.367837995
0.584502851	-0.367545426
0.584560721	-0.366657168
0.584618584	-0.366977841
0.584676453	-0.36633268
0.584734338	-0.365577519
0.584792195	-0.365158767
0.584850066	-0.365086436
0.584907931	-0.364673853
0.584965917	-0.364155561
0.585023799	-0.36376816
0.585081541	-0.363622516
0.585139412	-0.36200127
0.585197385	-0.359989315
0.585255261	-0.35803023
0.585313125	-0.357804
0.585370993	-0.357039571
0.585428869	-0.355251849
0.585486744	-0.354429066
0.585544601	-0.354083151
0.585602472	-0.35364148
0.585660344	-0.352047503
0.585718219	-0.350259244
0.585776076	-0.350360274
0.585833951	-0.349865973
0.585891805	-0.348906845
0.58594969	-0.347875118
0.586007541	-0.347734958
0.586065412	-0.346121788
0.586123278	-0.344661951
0.586181146	-0.343534797
0.586239028	-0.341840744
0.586296894	-0.3410258
0.586354765	-0.339189053
0.586412625	-0.338043094
0.586470489	-0.337034971
0.586528375	-0.33453083
0.586586246	-0.33218649
0.586644096	-0.330276251
0.586701961	-0.329033613
0.586759845	-0.32806173
0.586817716	-0.324846208
0.586875586	-0.323559314
0.586933444	-0.322724998
0.586991306	-0.320299625
0.587049178	-0.317614764
0.587107061	-0.314667314
0.587164922	-0.312744737
0.587222789	-0.309746862
0.587280654	-0.307942987
0.587338526	-0.304659396
0.587396398	-0.303257942
0.58745425	-0.300963879
0.587512139	-0.29723376
0.58756999	-0.294514626
0.587627869	-0.291358084
0.587685744	-0.288972676
0.587743677	-0.286146402
0.587801553	-0.283361018
0.587859416	-0.282658398
0.587917269	-0.279944956
0.587975138	-0.276389182
0.588033005	-0.272668541
0.58809088	-0.269632697
0.58814876	-0.267224193
0.588206618	-0.263336092
0.588264479	-0.26155749
0.588322368	-0.25835225
0.58838023	-0.255660325
0.588438092	-0.250242293
0.588495961	-0.247302994
0.588553826	-0.244579807
0.588611704	-0.241998583
0.588669568	-0.237742841
0.588727443	-0.233294323
0.588785297	-0.229704559
0.588843168	-0.226917043
0.588901054	-0.221862152
0.588958901	-0.220058858
0.589016782	-0.216742471
0.589074655	-0.212985858
0.589132521	-0.208534733
0.589190383	-0.204331398
0.589248252	-0.201011613
0.589306128	-0.197365254
0.589363985	-0.191477642
0.589421862	-0.187917694
0.589479837	-0.184495673
0.589537705	-0.181330279
0.589595472	-0.177818283
0.589653336	-0.173684627
0.589711204	-0.168829218
0.589769184	-0.165589199
0.589827042	-0.162079319
0.589884921	-0.158021182
0.589942681	-0.152511656
0.590000659	-0.148490146
0.590058533	-0.143226951
0.590116393	-0.1394604
0.590174266	-0.135402277
0.590232135	-0.131777495
0.590290006	-0.12558274
0.590347866	-0.120390683
0.590405739	-0.115882114
0.590463608	-0.111869104
0.590521468	-0.105701238
0.590579352	-0.101589583
0.590637211	-0.096488059
0.590695073	-0.092042022
0.590752947	-0.085862465
0.590810804	-0.082153276
0.590868696	-0.076439671
0.590926557	-0.072126761
0.590984433	-0.065375015
0.5910423	-0.060669836
0.591100148	-0.055508528
0.591158015	-0.051953327
0.591215893	-0.046023212
0.591273754	-0.040088184
0.591331633	-0.034510162
0.591389506	-0.030962925
0.591447374	-0.023488542
0.591505229	-0.018264243
0.591563101	-0.012675102
0.591620982	-0.008581976
0.59167884	-0.002001731
0.591736722	0.003088339
0.591794569	0.009192895
0.591852456	0.014338967
0.591910328	0.021832328
0.591968195	0.027432596
0.592026052	0.033577628
0.592083924	0.03845099
0.59214178	0.045204323
0.592199669	0.050141327
0.59225753	0.056752335
0.592315385	0.062039066
0.592373253	0.069018468
0.592431126	0.0737717
0.592489109	0.080440164
0.592546878	0.085703842
0.592604855	0.091884434
0.59266272	0.098572895
0.592720481	0.106642552
0.592778347	0.111988887
0.592836334	0.118044488
0.592894201	0.122889601
0.59295207	0.130300224
0.593009932	0.135910779
0.593067809	0.142690077
0.593125677	0.149910942
0.593183528	0.156326592
0.593241408	0.160313919
0.593299268	0.167148039
0.593357144	0.172860012
0.593415023	0.180492088
0.593472873	0.185944364
0.593530739	0.193973512
0.593588621	0.200719297
0.593646476	0.208473042
0.593704344	0.214713946
0.593762213	0.222748071
0.593820102	0.228902832
0.593877956	0.23717615
0.593935822	0.242426217
0.5939937	0.249621853
0.594051554	0.256979853
0.594109439	0.264538884
0.594167297	0.268950999
0.594225172	0.277667254
0.594283033	0.28453362
0.594340917	0.292852283
0.594398768	0.298983604
0.594456644	0.307356179
0.594514516	0.314071804
0.594572392	0.320967108
0.594630245	0.327740222
0.594688127	0.335155428
0.59474599	0.34211278
0.594803858	0.350424737
0.594861731	0.356617212
0.594919717	0.364432097
0.594977457	0.371295452
0.595035323	0.380099893
0.595093187	0.387083411
0.59515107	0.395969153
0.595208925	0.4035514
0.595266807	0.411663652
0.595324679	0.418707639
0.595382642	0.427264512
0.595440511	0.434176147
0.595498382	0.443240941
0.595556268	0.448793858
0.595614131	0.458145738
0.595671892	0.466066301
0.595729871	0.475331694
0.595787728	0.482782573
0.595845593	0.492211342
0.595903459	0.498992443
0.595961344	0.507482588
0.596019207	0.514157653
0.596077078	0.523370385
0.596134943	0.532263398
0.596192806	0.541482627
0.596250667	0.547988653
0.596308558	0.556070745
0.596366418	0.564611971
0.596424278	0.575539708
0.596482145	0.582667589
0.596540023	0.590010762
0.596597902	0.597457469
0.596655751	0.606259286
0.596713633	0.61292392
0.596771495	0.62279284
0.596829357	0.631133556
0.596887232	0.641305208
0.596945105	0.648399293
0.597002967	0.657114744
0.597060835	0.666155815
0.597118695	0.676266253
0.597176583	0.684414506
0.597234444	0.692058861
0.597292306	0.700101972
0.597350182	0.709949315
0.597408036	0.71902287
0.597465915	0.728348553
0.597523788	0.738320589
0.597581645	0.747884572
0.597639519	0.756506383
0.597697397	0.765227735
0.597755263	0.774743199
0.597813137	0.785310149
0.597871123	0.794169486
0.597928874	0.802936733
0.597986737	0.811252475
0.598044593	0.822069466
0.598102475	0.830795527
0.598160341	0.840347111
0.598218214	0.851123512
0.598276084	0.860856593
0.598334058	0.868942857
0.598391814	0.877664924
0.598449794	0.887289524
0.598507662	0.898360252
0.598565528	0.907035351
0.598623402	0.916535616
0.598681272	0.925550818
0.598739127	0.935463011
0.598797008	0.945972681
0.598854875	0.955690205
0.598912734	0.965317249
0.598970618	0.975215435
0.599028486	0.984209657
0.599086336	0.994660914
0.599144219	1.005674839
0.599202077	1.016332626
0.599259961	1.02667141
0.599317827	1.035267353
0.599375694	1.046536207
0.599433549	1.057316303
0.599491422	1.067752719
0.599549301	1.075862765
0.599607155	1.085780263
0.599665036	1.096141219
0.599722895	1.105519295
0.59978076	1.116050124
0.599838638	1.126820803
0.599896495	1.137411475
0.599954366	1.147344351
0.600012246	1.156067491
0.600070099	1.167666078
0.600127977	1.177681088
0.600185837	1.188766718
0.600243708	1.197541475
0.600301579	1.208432198
0.600359461	1.219580174
0.600417312	1.230946183
0.60047518	1.242716074
0.600533061	1.253103733
0.600590933	1.261909843
0.600648799	1.27236259
0.600706669	1.281998873
0.600764519	1.293059111
0.600822392	1.304581642
0.600880267	1.315808654
0.600938145	1.324632883
0.600996011	1.33679843
0.60105388	1.346642494
0.60111185	1.359562397
0.601169721	1.370419502
0.601227593	1.382856727
0.601285459	1.391950965
0.601343223	1.404156685
0.601401094	1.414361715
0.601459056	1.427488804
0.601516934	1.439638853
0.601574804	1.450404048
0.601632682	1.459947348
0.601690549	1.470148802
0.601748407	1.480340362
0.601806268	1.49325192
0.601864145	1.503672481
0.60192202	1.514797688
0.601979887	1.524158359
0.602037749	1.537116647
0.602095611	1.54752183
0.602153489	1.560088635
0.602211365	1.570178032
0.602269232	1.583258629
0.602327105	1.592412829
0.602384957	1.604162574
0.602442831	1.613667965
0.602500703	1.626523972
0.602558579	1.637581945
0.602616442	1.64959836
0.602674306	1.658955336
0.602732173	1.669693947
0.602790036	1.678649306
0.602847904	1.691923857
0.602905786	1.700293422
0.602963655	1.713832736
0.603021563	1.724237919
0.603079396	1.73869431
0.603137239	1.746938944
0.603195121	1.759819865
0.603252978	1.769913197
0.603310856	1.786128402
0.603368715	1.796269059
0.603426595	1.81056726
0.603484459	1.819623232
0.603542327	1.831739664
0.603600198	1.840744615
0.603658072	1.853906632
0.603715943	1.865116835
0.603773806	1.878108263
0.603831679	1.887040615
0.603889668	1.900675774
0.603947517	1.911090255
0.604005278	1.926484585
0.604063154	1.938396215
0.604121019	1.953273654
0.604179002	1.962678552
0.604236867	1.976939559
0.604294629	1.985873222
0.604352591	2.001401424
0.604410474	2.011765003
0.604468343	2.026639223
0.604526216	2.033536911
0.604584077	2.04550004
0.604641949	2.056008101
0.60469982	2.071260691
0.604757689	2.079230785
0.604815537	2.092143059
0.604873411	2.100192547
0.604931284	2.115149498
0.604989155	2.127126694
0.605047027	2.142880917
0.605104896	2.151839733
0.605162761	2.167033434
0.605220621	2.176498413
0.605278496	2.190906286
0.605336358	2.199920178
0.605394242	2.216484308
0.605452104	2.225409746
0.605509972	2.239669323
0.605567844	2.247247934
0.605625715	2.263502359
0.605683579	2.274371386
0.60574145	2.288568258
0.605799312	2.29684782
0.60585717	2.312733889
0.605915051	2.320421934
0.605972925	2.333489895
0.6060308	2.34272337
0.606088653	2.359336376
0.606146512	2.369726419
0.606204402	2.386085272
0.606262261	2.393945217
0.60632014	2.410256147
0.606378004	2.419986725
0.606435865	2.435293436
0.606493739	2.44453001
0.60655159	2.462482452
0.606609469	2.4697299
0.606667344	2.48432827
0.606725214	2.490167141
0.606783192	2.507951498
0.606840945	2.518198967
0.606898926	2.531788111
0.60695669	2.538497686
0.607014656	2.553743839
0.607072532	2.563197613
0.607130406	2.580916405
0.607188265	2.58987546
0.607246135	2.605659246
0.607304004	2.612608433
0.60736187	2.627455235
0.607419736	2.635051251
0.607477615	2.656074047
0.607535482	2.661964178
0.607593345	2.675727367
0.60765121	2.682586908
0.607709082	2.699709892
0.607766943	2.711763144
0.607824814	2.728348255
0.607882696	2.732406378
0.60794055	2.7487216
0.607998434	2.756362915
0.608056297	2.775096655
0.608114157	2.78357482
0.608172041	2.801700592
0.608229894	2.806860447
0.608287758	2.822423697
0.608345629	2.830459356
0.608403509	2.849236012
0.608461372	2.858294725
0.60851924	2.872859001
0.608577106	2.878263474
0.608634989	2.896349669
0.608692848	2.903552294
0.60875072	2.922426939
0.608808585	2.928010225
0.608866487	2.945442915
0.608924358	2.951645613
0.608982243	2.966841936
0.609040097	2.972276449
0.609097971	2.989251137
0.609155839	2.99755764
0.60921372	3.014797688
0.609271578	3.018630505
0.609329456	3.035834551
0.609387321	3.041652203
0.609445188	3.061546803
0.609503045	3.067264795
0.609560921	3.084726095
0.609618792	3.090224981
0.609676656	3.106337547
0.609734525	3.115424633
0.609792387	3.134864092
0.60985027	3.140439987
0.609908131	3.15600419
0.609965994	3.160502195
0.610023877	3.180559874
0.610081733	3.190079689
0.610139609	3.205109119
0.610197481	3.209713697
0.610255345	3.225830793
0.610313206	3.232994556
0.610371064	3.253581762
0.610428939	3.259877205
0.610486804	3.278146505
0.610544668	3.283225298
0.610602545	3.300562143
0.610660414	3.307127237
0.610718288	3.327435732
0.610776259	3.333952665
0.61083415	3.350294113
0.610892007	3.353938818
0.610949874	3.375505924
0.611007736	3.381937265
0.611065611	3.40259099
0.611123488	3.409662485
0.611181355	3.426719427
0.611239219	3.433543921
0.611297094	3.451230526
0.611354958	3.456979752
0.611412826	3.472939491
0.6114707	3.476320028
0.611528561	3.495156765
0.611586425	3.501360416
0.611644297	3.519372702
0.611702155	3.524773836
0.611760037	3.541773081
0.611817905	3.550084591
0.611875762	3.568583965
0.611933638	3.574325323
0.611991506	3.589407206
0.612049362	3.593998194
0.612107251	3.614082098
0.612165122	3.620829821
0.612222979	3.638721228
0.612280858	3.643832445
0.61233871	3.661311388
0.612396583	3.666748524
0.612454457	3.687211752
0.612512328	3.69297576
0.612570191	3.708623886
0.612628053	3.711002111
0.612685928	3.726772785
0.612743794	3.736106873
0.612801663	3.75762701
0.612859522	3.75941205
0.612917389	3.777333498
0.612975276	3.780585527
0.613033144	3.802031994
0.613091009	3.80927062
0.613148878	3.826703548
0.613206758	3.832000732
0.613264622	3.849849701
0.613322493	3.855419397
0.613380368	3.87098217
0.613438232	3.877456427
0.613496083	3.896426916
0.613553957	3.90206027
0.613611831	3.919959307
0.613669811	3.923872948
0.613727569	3.941703796
0.61378544	3.946293593
0.613843409	3.963769674
0.613901283	3.970688582
0.61395915	3.986352444
