Day fraction since midnight on 	Photometer Conc (mg/L)
0.690258417	-0.31450364
0.690316286	-0.310433
0.690374137	-0.301896542
0.690432026	-0.329661876
0.690489879	-0.329166442
0.690547746	-0.329424918
0.69060561	-0.330738694
0.690663491	-0.340364933
0.690721374	-0.354319483
0.690779239	-0.366968334
0.690837103	-0.375796765
0.690894969	-0.384568542
0.690952846	-0.386851788
0.691010704	-0.380020291
0.691068583	-0.378741294
0.691126444	-0.383385152
0.691184314	-0.382624805
0.691242192	-0.380917698
0.691300068	-0.388733387
0.69135797	-0.389929831
0.691415828	-0.387540102
0.691473695	-0.395226717
0.691531558	-0.388690203
0.69158945	-0.391625255
0.691647301	-0.401908726
0.691705176	-0.403801858
0.691763045	-0.399277568
0.691820911	-0.408691824
0.691878779	-0.411908686
0.69193665	-0.413286626
0.691994515	-0.406065971
0.692052386	-0.40394637
0.692110272	-0.404134959
0.692168124	-0.401856601
0.692225982	-0.394383401
0.692283857	-0.402466983
0.692341737	-0.401610136
0.692399605	-0.402748466
0.692457469	-0.404845625
0.692515341	-0.383372814
0.692573214	-0.393446088
0.692631073	-0.385243267
0.692688947	-0.380035013
0.692746815	-0.364262193
0.69280469	-0.375277698
0.692862542	-0.375924617
0.692920411	-0.358687431
0.692978415	-0.365436196
0.69303615	-0.368227631
0.693094025	-0.353240252
0.693151884	-0.350935102
0.693209754	-0.365377665
0.693267639	-0.373546362
0.693325514	-0.375545323
0.693383487	-0.39035216
0.693441249	-0.396461666
0.693499109	-0.394577891
0.693556976	-0.401859433
0.693614974	-0.411823452
0.693672826	-0.416923881
0.693730702	-0.421978831
0.693788564	-0.422071517
0.693846446	-0.420390785
0.693904306	-0.420146287
0.693962178	-0.432802826
0.694020044	-0.436279684
0.694077914	-0.439068496
0.694135775	-0.429530174
0.694193638	-0.433044165
0.694251521	-0.430959255
0.694309388	-0.432165206
0.69436726	-0.426166505
0.694425126	-0.42017135
0.694482994	-0.430714101
0.694540868	-0.436090827
0.694598718	-0.435423702
0.694656609	-0.443208098
0.694714458	-0.448587745
0.69477233	-0.448844194
0.694830212	-0.4470855
0.694888074	-0.45597586
0.694945947	-0.455916971
0.695003859	-0.45843786
0.69506173	-0.459955603
0.695119592	-0.459191352
0.695177456	-0.458180696
0.69523533	-0.460136414
0.69529321	-0.460716009
0.695351066	-0.45985201
0.695408948	-0.464884251
0.695466819	-0.462297857
0.695524667	-0.461363852
0.695582556	-0.461571932
0.695640421	-0.465361416
0.695698279	-0.464413136
0.695756156	-0.470330358
0.695814045	-0.463031262
0.695871914	-0.461301714
0.695929772	-0.462824613
0.695987639	-0.46919024
0.696045507	-0.468488395
0.696103393	-0.470205277
0.696161249	-0.469546318
0.696219117	-0.469207168
0.696276979	-0.460080385
0.696334854	-0.464068174
0.696392725	-0.465136945
0.696450589	-0.463556081
0.696508467	-0.465227783
0.696566339	-0.459650457
0.696624205	-0.457440794
0.696682	-0.460231036
0.696739878	-0.465361893
0.696797858	-0.467154652
0.69685562	-0.466119498
0.696913598	-0.463490188
0.696971461	-0.45800364
0.697029335	-0.458814144
0.697087207	-0.464369386
0.69714508	-0.462250799
0.697202955	-0.463214815
0.697260816	-0.460076124
0.697318679	-0.466026813
0.69737655	-0.467810482
0.697434424	-0.466335952
0.697492297	-0.468837917
0.697550167	-0.469610751
0.697608026	-0.470647842
0.697665897	-0.465966106
0.697723774	-0.471351862
0.697781635	-0.475236386
0.697839503	-0.47234267
0.697897374	-0.466517121
0.697955231	-0.465550602
0.698013096	-0.467723936
0.698070983	-0.468776286
0.698128832	-0.458197653
0.698186712	-0.453801096
0.698244586	-0.449889362
0.698302455	-0.450312674
0.698360324	-0.446576238
0.698418183	-0.451566905
0.698476062	-0.458256066
0.69853392	-0.460818648
0.698591792	-0.463166803
0.698649659	-0.460794628
0.698707596	-0.453695566
0.698765466	-0.453148961
0.698823335	-0.451226622
0.698881205	-0.445483536
0.698939083	-0.441779524
0.698996947	-0.438934922
0.699054807	-0.438254774
0.699112692	-0.438554496
0.699170567	-0.433314323
0.699228417	-0.441626191
0.69928629	-0.443439722
0.699344171	-0.444383144
0.699402029	-0.459772885
0.699459905	-0.465901643
0.699517778	-0.465529889
0.699575648	-0.461132675
0.699633514	-0.467987388
0.69969138	-0.470335543
0.699749231	-0.475017816
0.699807106	-0.473697275
0.699864982	-0.478830278
0.699922853	-0.479176581
0.699980722	-0.485873371
0.700038592	-0.480116725
0.700096446	-0.479443938
0.70015433	-0.486652255
0.70021219	-0.484617323
0.700270068	-0.484755874
0.700327934	-0.486267269
0.70038581	-0.488170862
0.700443658	-0.488320589
0.700501541	-0.488201827
0.700559407	-0.491248131
0.700617269	-0.490828157
0.700675148	-0.4927378
0.700733017	-0.490826279
0.700790883	-0.492689014
0.700848733	-0.494536817
0.700906604	-0.493942499
0.700964472	-0.492995828
0.701022338	-0.496979803
0.701080219	-0.496553063
0.701138096	-0.49794668
0.701195962	-0.500710309
0.701253825	-0.5010764
0.701311692	-0.500296891
0.701369618	-0.498960346
0.701427476	-0.500480175
0.701485364	-0.501358092
0.701543229	-0.503988504
0.701601097	-0.499635428
0.701658947	-0.497990757
0.701716831	-0.496599972
0.701774697	-0.498509318
0.701832578	-0.499261797
0.701890501	-0.502267301
0.701948378	-0.500269651
0.702006238	-0.499341488
0.702064099	-0.50156945
0.702121975	-0.501745701
0.702179842	-0.502764046
0.702237714	-0.504801869
0.702295586	-0.503757477
0.702353449	-0.502430379
0.702411303	-0.502190888
0.702469192	-0.503741086
0.702527042	-0.503556013
0.702584891	-0.50575155
0.702642757	-0.505787134
0.702700627	-0.504552186
0.702758499	-0.503109872
0.702816373	-0.504757822
0.702874244	-0.504981816
0.702932104	-0.50448519
0.702989966	-0.504606962
0.703047835	-0.504918575
0.703105705	-0.507596672
0.703163573	-0.511143446
0.703221448	-0.509853959
0.703279317	-0.511583984
0.703337188	-0.510047317
0.703395053	-0.509645581
0.703452924	-0.5119192
0.703510793	-0.509813666
0.70356867	-0.50914073
0.703626518	-0.511134505
0.703684402	-0.508281827
0.703742373	-0.508417666
0.70380024	-0.507810235
0.703858116	-0.5069381
0.70391598	-0.506448567
0.703973851	-0.507599473
0.704031726	-0.505135953
0.704089593	-0.508541763
0.704147468	-0.509121537
0.704205324	-0.510698617
0.704263208	-0.510376036
0.704321078	-0.513615608
0.704378943	-0.515263498
0.704436803	-0.515743613
0.704494676	-0.514064431
0.704552533	-0.516630352
0.704610405	-0.515228868
0.70466829	-0.516760886
0.704726149	-0.517538011
0.704784013	-0.522373438
0.704841878	-0.523655474
0.704899743	-0.522589445
0.704957636	-0.523321688
0.70501551	-0.524908423
0.705073371	-0.522660971
0.705131239	-0.523156166
0.705189112	-0.52429831
0.705246965	-0.523768604
0.705304837	-0.524200141
0.705362709	-0.524968267
0.705420587	-0.52550441
0.705478445	-0.525505841
0.705536325	-0.525902689
0.705594181	-0.525555849
0.705652048	-0.522798479
0.705709918	-0.522855043
0.705767793	-0.523038805
0.705825663	-0.522166729
0.705883539	-0.525451601
0.705941399	-0.525296867
0.705999261	-0.525891423
0.706057128	-0.525175333
0.706115011	-0.526158333
0.706172885	-0.527704358
0.706230746	-0.529102504
0.706288609	-0.529380977
0.706346476	-0.527947366
0.706404345	-0.528240383
0.706462217	-0.529990256
0.706520087	-0.53024441
0.706577965	-0.52979821
0.706635829	-0.531068981
0.706693688	-0.532453954
0.70675167	-0.532190979
0.706809557	-0.530665338
0.706867426	-0.530680299
0.706925157	-0.533427298
0.706983146	-0.532274127
0.707041025	-0.531164706
0.707098888	-0.534038127
0.707156755	-0.533688366
0.707214623	-0.532791197
0.707272502	-0.534511685
0.707330374	-0.53332597
0.707388244	-0.533402562
0.707446095	-0.532105029
0.707503972	-0.532491803
0.707561847	-0.532638431
0.707619709	-0.532127023
0.707677577	-0.53197521
0.707735435	-0.529950082
0.70779332	-0.530748487
0.70785118	-0.532808006
0.70790904	-0.533204079
0.707966925	-0.533640742
0.708024777	-0.533560395
0.708082652	-0.535336793
0.708140523	-0.53531903
0.708198399	-0.535843849
0.708256254	-0.535617411
0.708314128	-0.535806954
0.70837199	-0.533652425
0.708429882	-0.531239927
0.70848774	-0.531141818
0.708545597	-0.529875338
0.708603472	-0.529198766
0.708661348	-0.527880549
0.708719212	-0.528530598
0.708777088	-0.529792607
0.708834958	-0.530398607
0.708892827	-0.531226397
0.708950679	-0.532210171
0.709008555	-0.532892048
0.709066434	-0.533302128
0.709124301	-0.535576761
0.709182159	-0.539287031
0.709240033	-0.540751994
0.709297911	-0.540922761
0.709355767	-0.540051043
0.709413643	-0.542348683
0.70947151	-0.543129206
0.70952949	-0.543895721
0.709587353	-0.543579876
0.709645109	-0.542755067
0.709703089	-0.545633674
0.709760853	-0.544190049
0.709818831	-0.544403195
0.7098767	-0.545972228
0.709934564	-0.545844913
0.709992373	-0.543291569
0.710050247	-0.543260336
0.710108102	-0.544554353
0.710165979	-0.544018865
0.710223841	-0.543848097
0.710281719	-0.544354737
0.710339591	-0.54624182
0.710397438	-0.545552492
0.710455308	-0.545627594
0.710513176	-0.549717844
0.71057106	-0.550706089
0.710628917	-0.54984653
0.7106869	-0.549165428
0.710744768	-0.55179584
0.710802537	-0.555147708
0.710860506	-0.552117884
0.710918379	-0.552474439
0.710976144	-0.551819146
